start	end	text
0	2000	大家好 我是Seyoung
2000	4000	大家好 我是Crystal
4000	6440	現在是
6440	8600	松州的冬天
8600	12000	我們今天最後要去吃飯
12000	14000	我們現在要去找我們另一個朋友了
14000	16000	現在這個大曆光很漂亮
16000	18000	好冷喔 冷到我眼淚都掉下來
18000	20000	但是其實今天蠻冷的
20000	22000	今天現在只有五度而已
22000	24000	然後我們兩個居然只穿了這樣
24000	26000	我裡面是一件胸罩
26000	28000	然後再加一件就是
28000	30200	然後再加一件Marking King的皮外套
31200	32100	然後妳的呢?
32800	34400	我裡面就只有一件短袖
34400	36400	因為我現在沒有什麼衣服可以穿了
36400	38300	我這次來都把衣服穿完了
38300	38900	神經病
38900	40100	然後跟一件皮外
40100	41700	喔 蠻涼的
41700	43800	五度的天氣她裡面穿短袖
43800	44800	神經病
45300	47900	沒辦法 這次沒買什麼東西
47900	49300	就叫妳買衣服了
50300	51600	叫她多買一點
51600	53000	她需要打扮自己
53000	54600	我們剛剛早上用了什麼?
54600	56700	泡泡的 很像Mousse的產品
56700	59460	對 然後它是一個保養品的彩妝
59460	60800	那個形容詞是這樣的
60800	63500	昨天韓國歐尼跟我們說的
63500	65300	然後昨天他就跟我說
65300	65960	如果他說
65960	67260	菜喲啊 保養品的彩妝
67260	68500	他沒有說過你會說
68500	69540	他真的會說
69540	71600	我們昨天用的那個
71600	73340	保養品的那個
73340	74600	保養品的美膏
74600	75940	真的滿好用的
75940	77400	因為早上起來上完妝
77400	79640	就是超級的透
80760	82100	我們剛剛到這間
82100	84500	昨天歐尼推薦給我們的
84500	87000	一個朝日餐廳
87000	88440	然後它就是有
88440	89600	一些鬆餅啊
89600	91140	一些朝日餐盤這樣
91640	92440	感覺
92940	94140	蠻local的
94500	96140	這才是今天的移動
98340	99540	安妞哈嚕
99540	101460	我們哈嚕忙了來了
101460	102660	哈嚕的最後
103160	104660	最後哪裡啊
104660	105960	最後哪裡啊
105960	106660	126
106660	107760	126
108160	109060	126
110960	112200	這個表格是在那邊
112200	113560	謝謝
114500	116500	我吃了一碗
116500	118500	我吃了一碗
118500	120500	我吃了一碗
120500	122500	你好
122500	124500	我是Krysta
124500	126500	我是Krysta的頻道
126500	128500	我是Krysta的頻道
128500	130500	這是我的頻道
130500	132500	我把我的頻道搶走了
132500	134500	我把我的頻道搶走了
134500	136500	從現在開始由我接管
136500	138500	我把我的頻道搶走了
138500	140500	現在太忙了
140500	142500	現在太忙了
142500	144500	我可以把手指推直
172500	174500	我們要來逛一個美術館
174500	176500	在漢南棟
176500	178500	就是李泰熱這邊
178500	180500	Contemporary
180500	182500	Contemporary
182500	184500	Oh
184500	186500	This is a contemporary
186500	188500	Contemporary
188500	190500	Oh
190500	192500	Cool
192500	194500	我第一次看到美術館長這樣耶
202500	217240	我剛看完那個展覽了
217240	218800	覺得蠻酷的
218800	221000	這個展覽有很多很酷的地方
221000	222700	就是因為它有多了很多
222700	224520	真人實際上的互動
224520	226720	這個我覺得非常的酷
226720	229100	很像我在紐約看那種
229100	230600	古根漢博物館的感覺
230600	232400	蠻特別的
232400	234400	但是我覺得最特別還是人的互動
234400	236200	就是人的表演
236200	237800	人的表演有非常多種
237800	240700	所以你可以很細微的觀察到
240700	242340	那你們現在聽到的聲音
242340	244440	應該就是那些人在
244440	246440	就是唱歌的聲音
262400	264400	好久沒有來漢南洞了
264400	266400	然後我就發現最近有一些新出的店
266400	268400	然後這個是Rose Jenny同款的衣服
268400	270400	我有在小紅書上面看到的
280400	282400	是新的耶
282400	284400	我的菜耶
284400	286400	這些滿辣的喔
286400	288400	店還有分兩層樓
288400	290400	走比較休閒的路
290400	293900	走比較休閒風格為主的
293900	295400	漂亮
295400	298200	陽光折射進來的美
299300	300640	沒有穿過裙子
302320	303580	這誰啊
303580	304940	我覺得超適合你的
304940	306620	超適合我是嗎
308560	309560	好新穎喔
309560	311060	連我自己都覺得很新穎
311060	312660	美式
315160	317100	Sore真的對我來說算是一個
317100	320200	非常輕鬆然後非常方便的一個地方
320200	323500	可能會講韓文我覺得對我來說還是差蠻多的
323500	327700	就是來首爾旅遊這件事情會讓我覺得說
327700	331340	在語言上面會有一種很有成就感的感覺
331340	334840	就比起如果去歐洲的話要講英文這件事情對我來說比較困難
334840	337920	但是如果講韓文的話就會覺得方便蠻多的
337920	341680	這間呢就是漢南東新開的一間店
341680	344400	然後我也是第一次看到它
344400	347100	忘記是去年年底還是今年開的
347100	350000	然後綜合了很多品牌
350000	352000	的一間店這樣
352000	354000	Martin King到Dipang
354000	357000	到其他的Rotary的牌子都有這樣
363000	365000	這間不錯 蠻好看的
370000	373000	那個單身極地獄的金高恩的pick
373000	376000	然後就發現很多都是他的pick款耶
376000	378000	蠻酷的
378000	379660	我們晚上要去吃烤肉
379660	380900	但實在是太餓了
380900	382640	我等不到那個時候了
382640	385800	就先點了炒年糕 然後魷魚
385800	388340	然後跟一個Sundae 血腸
388340	390540	我要來吃吃看他家的Tteokbokki
392140	394040	我是Tteokbokki愛好者
394040	395160	超愛
395160	396660	哇 很好吃欸
